,deu,nds
12092,Erdferkel graben auf der Suche nach Nahrung.,Eerdfarken graavt op de Söök na Foder.
12093,Dort schneit es.,Dor sneet dat.
12094,"Ich habe Lust, heute Abend essen zu gehen.","Ik heff Lust, vonavend eten to gahn."
12095,"Sie will nicht, dass er die Kinder so sehr verwöhnt.","Se will nich, dat he de Kinner toveel verwennt."
12096,"Als ich die Türe öffnete, lag sie nackend ausgestreckt auf dem Sofa.","As ik de Döör apen maken deed, deed se naakd utrekelt op ’t Sofa liggen."
12097,Jessica sang ein Lied.,Jessica deed en Leed singen.
12098,Jessica sang ein Lied.,Jessica sung en Leed.
12099,Thomas schaut einen Film an.,Thomas kkt en Film.
12100,Ich wollte ein Buch lesen.,Ik woll en Book lesen.
12101,Ich möchte Koreanisch essen.,Ik will Koreaansch eten.
12102,Das war drinnen zu heiß...,Dat weer binnen to heet...
12103,Reis wächst auch in Italien in der Poebene.,Ries wasst ok in Italien in de Poevene.
12104,Sie hat mir das Fischaugenobjektiv gegeben.,Se hett mi dat Fischogen-Objektiv geven.
12105,Dieses Buch ist in Englisch geschrieben.,Dit Book is op Engelsch schrieven.
12106,Mein Affe ist weggelaufen!,Mien Aap is weglopen!
12107,Dieser Roman besteht aus drei Teilen.,Disse Romaan besteiht ut dree Delen.
12108,Wie viele Kinder hast du?,Woveel Kinner hest du?
12109,Sie sieht immer bleich aus.,Se sütt alltied bleek ut.
12110,Er ist nach Frankreich gegangen.,He is na Frankriek gahn.
12111,Wer wird dann für deine Katze sorgen?,’Keen schall denn vör dien Katt sorgen?
12112,Bleibst du hier einen Augenblick?,Bliffst du hier en Stoot?
12113,Er pflanzt seine Sonnenblumen im Frühjahr.,He plant sien Sünnblomen in ’t Vörjahr.
12114,Du sollst nicht über seine Fehler lachen.,Du schusst över sien Fehlers nich lachen.
12115,Ein Teil von meinem Geld ist gestohlen worden.,Wat vun mien Geld is stahlen worrn.
12116,"Ich habe gerade gegessen, deshalb habe ich keinen Hunger.","Ik heff jüst eten, ik heff keen Hunger."
12117,"Ich habe eine Liste von Speisen erstellt, die ich nicht essen kann.","Ik heff en List mit Eten opstellt, dat ik nich eten dröff."
12118,"Ich habe eine Liste von Leuten erstellt, mit denen ich noch reden muss.","Ik heff en List mit Lüüd opstellt, mit de ik noch snacken mutt."
12119,"Ich habe eine Liste von Dingen erstellt, die ich gern kaufen würde.","Ik heff en List mit Saken opstellt, de ik geern köpen deed."
12120,"Ich habe eine Liste von Dingen aufgestellt, die ich gerne kaufen möchte.","Ik heff en List mit Saken opstellt, de ik geern köpen deed."
12121,Ich habe noch nie einen lebendigen Tintenfisch gegessen.,Ik heff noch nien en lebennigen Blackfisch eten.
12122,Er hat eine Putzfrau.,He hett en Reinmakerfroo.
12123,Kommst du oder nicht?,Kummst du oder nich?
12124,Kennst du ihn wirklich nicht?,Kennst du em würklich nich?
12125,Kennst du es wirklich nicht?,Kennst du dat würklich nich?
12126,Der Mond gehört niemandem.,De Maand höört nüms to.
12127,Niemand war zu Hause.,Nüms weer tohuus.
12128,Sie ist mindestens genauso schön wie ihre Schwester.,Se is wiss jüstso smuck as ehr Süster.
12129,"Sie weiß nicht, worüber sie mit ihm sprechen soll.","Se weet nich, wo se mit em över snacken schall."
12130,Iss mehr Gemüse.,Eet mehr Grööntüüg.
12131,Er schreibt gerade einen langen Brief.,He schrifft jüst en langen Breef.
12132,Sie ist vor zwei Jahren von der Schule abgegangen.,Se is vör twee Jahr vun de School afgahn.
12133,"Ich mag den Sommer, aber ich halte die Hitze nicht aus.","Ik mag den Sommer, man ik kann de Hitt nich af."
12134,"Ich hab so lange auf den Fersen gesessen, bis meine Beine taub geworden sind.",Ik heff so lang op de Hacken seten bet mien Been doof worrn sünd.
12135,Ich muss mich fein machen.,Ik mutt mi opfleen.
12136,Ich muss mich feinmachen.,Ik mutt mi opfleen.
12137,Wann kommt dein Vater?,Wannehr kummt dien Vadder?
12138,Die Braut setzte ihren Willen durch.,De Bruud deed ehren Wildnis dörsetten.
12139,Ich habe erbrochen.,Ik heff braken.
12140,Er mag keine Scherze.,He mag keen Jökelee.
12141,Der Garten war voll mit gelben Blumen.,De Gaarn weer vull mit gele Blomen.
12142,Der Berg ist grün.,De Barg is gröön.
12143,Suni spielt.,Suni speelt.
12144,Die Katze ist schwarz.,De Katt is swart.
12145,Ich schwimme fast jeden Tag.,Ik swemm meist elk Dag.
12146,Du machst mich verrückt.,Du maakst mi mall!
12147,Lasse die Kinder nicht auf der Straße spielen.,Laat de Kinner nich op de Straat spelen.
12148,Ihre alte Katze lebt noch immer.,Ehr ole Katt leevt noch ümmer.
12149,Sie ist keine gute Person.,Se is keen gode Person.
12150,Ken sprang über die Mauer.,Ken sprüng över de Muer.
12151,"Ich möchte, dass er ein Lied singt.",Ik will dat he en Leed singt.
12152,Nichts ist mehr wert als Zeit.,Nix is mehr weert as Tied.
12153,"Ich verstehe nicht, was der Autor damit sagen will.","Ik verstah nich, wat de Autor dar mit seggen will."
12154,Ich bin sonntags nicht zu Hause.,Ik bün sünndaags nich tohuus.
12155,Sie ist immer am Nörgeln.,Se is ümmer an ’t Rümgrummeln.
12156,Du brauchst viel Wasser.,Du bruukst veel Water.
12157,"Liebe ist in Frankreich eine Komödie, in England eine Tragödie, in Italien eine Oper und in Deutschland ein Melodrama.","De Leevd is in Frankriek en Kemmedie, in England en Tragödie, in Italien en Oper un in Düütsland en Melodram."
12158,Ankara ist nicht an einem Tag erbaut worden.,Ankara is nich an een Dag boot worrn.
12159,Wir müssen sparen.,Wi mööt sparen.
12160,Mach jetzt deine Hausaufgaben.,Maak nu dien Huusopgaven.
12161,Du bist vor drei Tagen angekommen.,Du büst vör dree Daag ankamen.
12162,Der Polizist war besoffen.,De Schandarm weer duun.
12163,Ich habe mir das Bein gebrochen.,Ik heff mi dat Been braken.
12164,Sie gab ihrem Vater einen Kuss auf die Wange.,Se deed ehren Vadder en Kuss op de Back geven.
12165,Wie lange warst du in Japan?,Wo lang büst du in Japan wesen?
12166,Alle Eier wurden faul.,All Eier sünd fulig worrn.
12167,Er erwartet einen Anruf.,He töövt op mien Anroop.
12168,Er erwartet einen Anruf.,He luurt op mien Anroop.
12169,Wir sind gleich da.,Wi sünd gliek dar.
12170,Wir zeigten ihm ein paar Foto von den Alpen.,Wi hebbt em en paar Fotos vun de Alpen wiest.
12171,Meine Telefonnummer lautet 2468.,"Mien Telefoonnummer is „twee, veer, söss, acht“."
12172,Es ist heiß hier drinnen.,Dat is heet hier binnen.
12173,Sie gab mir ein Geschenk.,Se hett mi en Geschenk geven.
12174,Die Sonne ist ungefähr eine Million mal größer als die Erde.,De Sünn is üm un bi een Milljoon Maal grötter as de Eerd.
12175,Ich war vor ein paar Tagen im Krankenhaus.,Ik weer vör en paar Daag in ’t Krankenhuus.
12176,Diese Stiefel sind aus Leder.,Disse Steveln sünd ut Ledder.
12177,Das wirst du noch bereuen.,Dat schall di noch leed doon.
12178,Sie haben den Krieg an der Ostfront verloren.,Se hebbt den Krieg an de Oostfront verloren.
12179,"Was geht es dich an, was andere in ihrer Freizeit tun?","Wat geiht di dat an, wat anner Lüüd in jemehr Freetied maakt?"
12180,Ich habe mich schon wieder verzählt!,Ik heff mi al wedder vertellt!
12181,Keiner wusste etwas.,Nüms wüss wat.
12182,Ich esse kein Schweinefleisch.,Ik eet keen Swienfleesch.
12183,"Dir kann man nichts schenken, du hast ja schon alles.","Pie kann man nix schenken, du hest ja al allens."
12184,Was ist aus diesen Geldern geworden?,Wat is ut düsse Geller worrn?
12185,Er trank ein Bier aus und bestellte gleich das nächste.,He drünk een Beer ut un bestell gliek noch een.
12186,"Wie kommt es, dass du das nicht weißt?","Wo kummt dat, dat du dat nich weetst?"
12187,Er ist bei Rotlicht über die Straße gegangen.,He is bi Rood över de Straat gahn.
12188,Da kam mir eine gute Idee.,Do keem mi en gode Idee.
12189,Wie spät ist es in Tokio?,Wo laat is dat in Tokyo?
12190,Im Laufe der Jahre ist sein Haar ergraut.,Mit de Johren is sien Hoor gries worrn.
12191,Da beißt sich der Hund in den Schwanz.,Dor bitt sik de Hund in ’n Steert.
12192,Am 25. Januar wird er zurückkehren.,An ’n 25. Januar schall he trüggkamen.
12193,Du solltest die Fünf nehmen.,Du schusst de Fiev nehmen.
12194,Gehst du mit mir auf das Konzert?,Geihst du mit mi na dat Kunzert?
12195,Das Auto stieß mit dem LKW zusammen.,Dat Auto is mit en Laster tohoopstött.
12196,Hast du einen Fön mitgenommen?,Hest du en Föhn mitnahmen?
12197,Hast du einen Fön mitgenommen?,Hest du en Föön mitnahmen?
12198,Habt ihr einen Fön mitgenommen?,Hebbt ji en Föön mitnahmen?
12199,Darf ich mich dazusetzen?,Dröff ik mi dorbisetten?
12200,Sie spielt mit dir wie eine Katze mit einer Maus.,Se speelt mit di as en Katt mit en Muus.
12201,Das Feuer ging aus.,Dat Füer güng ut.
12202,Meine Welt ist auch deine Welt.,Miene Welt is ok diene Welt.
12203,Du gehst besser nicht.,Du geihst beter nich.
12204,"Ich rauchte, als ich jung war.","Ik heff smöökt, as ik jung weer."
12205,Er sagte das im Scherz.,He hett dat ut Jux seggt.
12206,Sie sagte es aus Spaß.,Se seed dat ut Spaaß.
12207,Ich habe einen Roman geschenkt bekommen – von meinem Freund!,Ik heff en Romaan schenkt kriegen – vun mien Fründ!
12208,Die Armee zwang ihn zum Rücktritt.,De Armee hett em to ’n Bottgeven dwungen.
12209,Sie gehorcht ihm.,Se höört op em.
12210,Millionen von Soldaten starben auf beiden Seiten.,Milljonen Soldaten sünd op beide Sied doodbleven.
12211,Die Stadt war voller hungriger Soldaten.,De Stadt weer vull mit hungerige Soldaten.
12212,Deutsche Soldaten marschierten durch Frankreich.,Düütsche Soldaten sünd na Frankriek marscheert.
12213,Die Soldaten konnten ihn nun sehen.,De Soldaten kunnen em nu sehn.
12214,Niemand wollte darüber sprechen.,Keeneen woll dar över snacken.
12215,Niemand konnte etwas kaufen.,Nüms kunn wat köpen.
12216,Niemand weiß die Antwort.,Nüms weet de Antwoord.
12217,Gibt es auch etwas zu essen?,Gifft dat ok wat to eten?
12218,Das ist die Fahne von Japan.,Dat is de Fahn vun Japan.
12219,Ich brauche Urlaub!,Ik bruuk Feern!
12220,Ich bin mit diesem Krimi halb durch.,Ik bün mit dissen Krimi half dör.
12221,"Als ich zuhause war, bin ich gleich ins Bett.","As ik tohuus weer, bün ik gliek na Bedd."
12222,Ich unterstütze ihn.,Ik ünnerstütt em.
12223,Diese Suppe braucht ein bisschen mehr Salz.,Disse Supp bruukt en beten mehr Solt.
12224,Das Haus war von Feldern umgeben.,Dat Huus weer vun Fedder ümgeven.
12225,Das Haus lag inmitten von Getreidefeldern.,Dat Huus leeg merrn mang Koornfeller.
12226,Worauf hast du hingewiesen?,Wo wiest du op?
12227,Worauf hast du hingewiesen?,Wo hest du op henwiest?
12228,Ich bin ein Linkshänder.,Ik bün en Linkspoot.
12229,Ich habe ihm eine Karte gegeben.,Ik heff em en Kaart geven.
12230,Eines ist neu. Das Andere ist alt.,Een is nich. De anner is oolt.
12231,Mein Vater ist ein Doktor.,Mien Vadder is en Dokter.
12232,"Alles, was du tun musst, ist diesen roten Knopf zu drücken.","Allens, wat du doon musst, is dissen raden Knoop drücken."
12233,„Mein Kampf“ ist ein Buch von Adolf Hitler.,„Mein Kampf“ is en Book vun Adolf Hitler.
12234,Er ist wie ein Frosch in einem Brunnen.,He is as en Pogg in en Pütt.
12235,Brauchst du Schlüssel?,Bruukst du Slötels?
12236,Das Existenzrecht Israels sollte nicht in Frage gestellt werden.,Israel sien Existenzrecht schölen nüms anlangen.
12237,Ich werde dir die Daumen drücken.,Ik drück di de Dumen.
12238,Ich drücke dir die Daumen.,Ik drück di de Dumen.
12239,Ich werde euch die Daumen drücken.,Ik drück jo de Dumen.
12240,Das ist das Gesetz.,Dat is dat Gesett.
12241,Das habe ich vergessen.,Dat heff ik vergeten.
12242,Mein bester Freund tanzt ziemlich gut.,Mien besten Fründ danst temlich goot.
12243,"Es geht nicht darum ein reines Gewissen zu haben, sondern darum es zu benutzen.","Dat geiht nich dar üm, een rein Geweten to hebben, man dar üm, dat to bruken."
12244,"Ich habe immer viel Cola getrunken, aber nun trinke ich nur noch Wasser.","Ik heff ümmer veel Cola drunken, man nu drink ik bloot noch Water."
12245,"Sie trägt einen Hut, der komisch aussieht.","Se harr en Hoot op, de raar utsehn deed."
12246,Gott hat die Welt in sechs Tagen geschaffen.,Godd hett de Welt in söss Daag schapen.
12247,Diese CD gehört meinem Sohn.,Disse Cd höört mien Söhn to.
12248,Diese CD gehört meinem Sohn.,Disse CD höört mien Söhn to.
12249,"Zuerst Frankreich, dann der Irak.","Toeerst Frankriek, denn de Irak."
12250,"Zuerst Frankreich, dann der Irak.","Eerst Frankriek, denn Irak."
12251,Mary ist gestern Abend lange aufgeblieben.,Mary is güstern avend laat opbleven.
12252,Lasst uns zwei Flaschen bestellen.,Laat uns twee Buddels bestellen.
12253,Gandhi ist erschossen worden.,Gandhi is doodschaten worrn.
12254,"Stört dich das, wenn ich die Türe öffne?","Stöört di dat, wenn ik de Döör apen do?"
12255,Ich fange heute Nachmittag an.,Ik fangen vonnamiddag an.
12256,Meine Tante hat mir Blumen gebracht.,Miene Tante hett mi Blomen brocht.
12257,Hast du kurz Zeit?,Hest du kort Tied?
12258,Grabe ein tiefes Loch.,Graav en deep Pütt.
12259,Ich habe neue Möbel bestellt.,Ik heff nee’e Möbels bestellt.
12260,Er arbeitete hart.,He deed hart arbeiden.
12261,"Hast du gewusst, dass der 6. Juli der Internationale Tag des Kusses ist?","Hest du weten, dat de 6. Juli de Internatschonale Küss-Dag is?"
12262,Morgen frage ich ihn.,Morgen fraag ik em.
12263,Wer soll das machen?,’Keen schall dat doon?
12264,Er hat einen Sohn und zwei Töchter.,He hett een Söhn un twee Döchter.
12265,Ich habe viele Träume.,Ik heff veel Droom.
12266,Sein jüngster Sohn ist fünf Jahre alt.,Sien jüngsten Söhn is fief Jahr oolt.
12267,Möchtest du noch bis zum Leuchtturm gehen?,Wullt du noch bet na ’n Füürtoorn gahn?
12268,"Sage mir, wann ich anfangen soll.","Segg mi, wenn ik anfangen schall."
12269,"Ich brauche einen, mit dem ich sprechen kann.","Ik bruuk een, mit den ik snacken kann."
12270,Meine Familie ist nicht so groß.,Mien Famielje is nich so groot.
12271,Vielleicht weiß sie die Antwort.,Villicht weet se de Antwoord.
12272,Tom hat Mary schon mehr als ein Jahr nicht mehr gesehen.,Tom hett Mary al mehr as een Jahr nich mehr sehn.
12273,Was hast du gestern gesagt?,Wat hest du güstern seggt?
12274,Meine Schwester spielt ziemlich gut Gitarre.,Miene Süster speelt temlich goot Gitarr.
12275,Wir müssen ganz vorsichtig sein.,Wi mööt ganz vörsichtig wesen.
12276,Er ist ein Freund von meinem Bruder.,He is en Fründ vun mien Broder.
12277,"Nicht das Gewinnen ist wichtig, sondern das Mitmachen.","Nich winnen is wichtig, man mitmaken."
12278,Auf seine Hilfe kann man nicht rechnen.,Op sien Help kann man nich tellen.
12279,Dies ist ein Pferd.,Dit is en Peerd.
12280,Das ist ein Pferd.,Dit is en Peerd.
12281,Die Kasse stimmt heute nicht.,De Kass stimmt vondaag nich.
12282,"Auch das Hirn muss sich anstrengen, wenn das Herz spricht.","Ook de Bregen mutt sik anstrengen, wenn dat Hart snackt."
12283,"Wenn zwei sich streiten, freut sich der Dritte.","Wenn twee sik striedt, freit sik de Drüdde."
12284,Auch die schwärzeste Kuh gibt nur weiße Milch.,Ook de swartste Koh gifft witte Melk.
12285,"Ach, darum!","Ach, dorvon!"
12286,Soll ich dir helfen?,Schall ik di helpen?
12287,Er ist gestern nach Hause gegangen.,He is güstern na Huus gahn.
12288,Mein Vater gab mir den Vornamen seiner Tante.,Mien Vadder hett mi den Vörnaam vun sien Tante geven.
12289,Ich zahle dir alles mit Zinsen zurück.,Ik tahl allens mit Tinsen trügg.
12290,Du kannst mein Wörterbuch benutzen.,Du kannst mien Wöörbook bruken.
12291,Er weiß alles.,He weet allens.
12292,"Wenn du das Kabel anfasst, bekommst du einen Schlag.","Wenn du dat Kavel anfaatst, denn kriggst du en Slagg."
12293,"Der Hut passt dir nicht gut, er ist zu klein.","De Hoot passt di nich goot, de is to lütt."
12294,Dieser Computer spart uns eine Menge Arbeit.,Disse Computer spoort uns en Barg Arbeit.
12295,Der kleine Junge saß auf den Schultern seines Vaters.,De lütte Jung seet op de Schullern vun sien Vadder.
12296,Wie groß ist deine Familie?,Wo groot is dien Famielje?
12297,"Ich weiß, was du meinst.","Ik weet, wat du meenst."
12298,"Ich weiß, was du meinst.",Ik weet wat du meenst.
12299,Kennst du ihren Vater?,Kennst du ehren Vadder?
12300,Ich war in den letzten zehn Jahren nie krank.,Ik bün in de vergangen teihn Jahr nienich krank wesen.
12301,Dieser Hund gehört mir.,Disse Hund höört mi to.
12302,Da läuft eine Ratte über die Straße.,Dor lööp en Rott över de Straat.
12303,Die Menschen aus Madrid sind ein sonderbares Volk.,De Lüüd ut Madrid sünd en ampart Volk.
12304,Ich habe das Buch ausgelesen.,Ik heff dat Book ut.
12305,Bring mir ein Stück Kreide.,Bring mi en Stück Kried.
12306,Einen alten Bock gelüstet es wohl noch nach einem grünen Blatt.,En alen Buck lüst ok woll noch eens na en gröön Blatt.
12307,Bist du beim Doktor gewesen?,Büst du na ’n Dokter wesen?
12308,"Um sich zu verteidigen, hat er seinen Schirm benutzt.",Üm sik to verdeffenderen hett he sien Scherm bruukt.
12309,Am folgenden Morgen war der Schneemann vollständig geschmolzen.,Annern Morgen weer de Sneemann kumpleet smulten.
12310,"Darf ich fragen, wie alt du bist?","Dröff ik fragen, wo oolt du büst?"
12311,Ist Herr Parker heute da?,Is Herr Parker vondaag dar?
12312,"Ich kann dich mitnehmen, wenn du willst.","Ik kann di mitnehmen, wenn du wullt."
12313,Ich will ihr nicht weh tun.,Ik will ehr nich wehdoon.
12314,"Regeln sind da, um gebrochen zu werden.","Regeln sünd dar, üm braken to warrn."
12315,Die Katze ist braun.,De Katt is bruun.
12316,Heute ist mein Geburtstag.,Vondaag is mien Geboortsdag.
12317,Ich bin auf deiner Seite.,Ik stah op dien Sied.
12318,Der Wecker klingelt.,De Wecker klingelt.
12319,Eine Rose hat Dornen an ihrem Stängel.,En Roos hett Doornen an ehren Steel.
12320,Mein Haus liegt in der Nähe eines Bahnhofs.,Mien Huus liggt in de Neeg vun ’n Bahnhoff.
12321,Ihr Haus liegt auf der anderen Seite der Brücke.,Ehr Huus liggt op de anner Sied vun de Brüch.
12322,Sie hat gestern ihre Tante besucht.,Se hett güstern ehre Tante besöcht.
12323,Könnt ihr mich an der Bibliothek absetzen?,Köönt ji mi bi de Bibliotheek afsetten?
12324,"Sie weiß mehr darüber, als sie zugibt.","Se weet dar mehr över, as se tosteiht."
12325,Habt ihr den Unfall mit eigenen Augen gesehen?,Hebbt ji den Unfall mit egen Ogen sehn?
12326,Das Wetter ist schön.,Dat Wedder is goot.
12327,"Es tut mir leid, wenn ich dich gestört habe.","Dat deit mi leed, wenn ik di stöört heff."
12328,Ich habe ein deutsches Auto.,Ik heff en düütsch Auto.
12329,Sie ist mit Sicherheit über vierzig.,Se is wiss över veertig.
12330,Sie sammeln Spenden für die Kirche.,Se sammelt Spennen för de Kark.
12331,Ich konnte keinen Bissen mehr essen.,Ik kunn keen Beten mehr eten.
12332,Wie viel kostet ein Kilo Mozzarella?,Woveel köst en Kilo Mozzarella?
12333,Der Kontext ist wichtig.,De Kontext is wichtig.
12334,Meine Zahnschmerzen haben mich am Schlafen gehindert.,Dat Tähnkellen hett mi vun ’t Slapen afhollen.
12335,Ich würde dich so gerne sehen.,Ik deed di so geern sehn.
12336,"Ich weiß nicht, wo das ist.","Ik weet nich, woneem dat is."
12337,Warum trägst du keine Kontaktlinsen?,Worüm driggst du keen Kuntaktlinsen?
12338,Bustrophedon ist ein seltsames Wort...,„Bustrophedon“ is en snaaksch Woort...
12339,Im Kühlschrank ist Moosbeerensaft.,In ’n Köhlschapp is Kraanbeernsaft.
12340,Das Schloss wurde 1610 erbaut.,Dat Slott is 1610 boot worrn.
12341,Wir sahen nichts als Nebel.,Wi segen nix as Daak.
12342,Sie isst gerade.,Se itt jüst.
12343,"Wann habt ihr angefangen, Deutsch zu lernen?","Wannehr hebbt ji anfungen, Düütsch to lehren?"
12344,Eine lange Reihe Kamele zog Richtung Westen.,En lang Reeg Kameels tröck na West hen to.
12345,Du solltest es besser sofort tun.,Du schusst dat beter gliek doon.
12346,Du solltest ein paar Tage lang nicht rausgehen.,Du schusst en paar Daag lang nich na buten gahn.
12347,New York ist eine Großstadt.,New York is en Grootstad.
12348,Mein Geld liegt auf der Bank.,Mien Geld liggt op de Bank.
12349,Ist das Glas nun halb voll oder halb leer?,Is dat Glas nu half vull oder half leddig?
12350,Ist das Glas jetzt halb voll oder halb leer?,Is dat Glas nu half vull oder half leddig?
12351,Trinkt man zu Gänsebraten Weißwein oder Rotwein?,Warrt to Goosbraden Wittwien oder Roodwien drunken?
12352,"Er konnte immer sagen, aus welcher Richtung der Wind weht.","He kunn alltied seggen, ut wat för en Richt de Wind weiht."
12353,Bei uns kommt nichts weg!,Bi uns kummt nix weg!
12354,Wo sind meine Schuhe geblieben?,Wo sünd mien Schoh afbleven?
12355,Seid ihr letzte Nacht ausgegangen?,Sünn ji vergangen Nacht utgahn?
12356,"Es ist ein kalter Tag, also knöpf deinen Mantel zu.","Dat is en kolen Dag, also knööp dien Mantel to."
12357,Tot?,Dood?
12358,Warum musst du es machen?,Worüm musst du dat maken?
12359,Ich arbeite hier. Ich bin kein Gast.,Ik arbeid hier. Ik bün keen Gast.
12360,Ich muss Japanisch lernen.,Ik mutt Japaansch lehren.
12361,Mögt ihr Tennis?,Möögt ji Tennis?
12362,Ich gehe jeden Monat zum Frisör.,Ik gah elk Maand na ’n Putzbüdel.
12363,Wann wird sein neuer Roman veröffentlicht?,Wannehr kummt sien nee’en Romaan rut?
12364,"Ja, es hat schon angefangen.","Jo, dat hett al anfungen."
12365,Noch ist der Sommer nicht zu Ende!,Noch is de Sommer nich toenn!
12366,"Ein Bulle kann Vater werden, ein Ochse nur Onkel!","En Bull kann Vadder warrn, en Oss bloot Unkel!"
12367,Dies schmeckt wie Tee.,Dat smeckt as Tee.
12368,Es regnet schon seit zwei Tagen.,Dat regent al twee Daag.
12369,"Chiro mag keine Litschis, da er ein Kater ist.","Chiro mag kene Litschis, he is en Kater."
12370,Ich konnte in der Ferne einen Turm ausmachen.,Ik kunn in de Feern en Toorn kennen.
12371,"Aus der Ferne betrachtet, ähnelte die Insel einer Wolke.","Ut de Feern keken, liekt de Insel op en Wulk."
12372,Die Zinsen werden schrittweise steigen.,De Tinsen schöölt Schridd för Schridd stiegen.
12373,Zwei Tränen rollten über seine Wangen.,Twee Tranen sünd över sien Backen rullt.
12374,Ich wollte dich gestern besuchen.,Ik woll di güstern besöken.
12375,Im Herbst wird das Laub rot und gelb.,In ’n Harvst warrt dat Loof root un geel.
12376,Hast du es ganz gelesen?,Hest du dat ganz leest?
12377,Draußen ist es noch hell.,Buten is dat noch hell.
12378,"Kennst du den Mann, der dich anschaut?","Kennst du den Keerl, de di ankkt?"
12379,Er wiegt siebzig Kilo.,He wiggt söventig Kilo.
12380,Die Leiter ist aus Metall.,De Ledder is ut Metall.
12381,Dieses Buch habe ich gesucht.,Dit Book heff ik söcht.
12382,Darf ich ein Foto von euch machen?,Dröff ik en Foto vun jo maken?
12383,Ich lerne täglich eine Stunde lang Englisch.,Ik lehr elk Dag een Stünn lang Engelsch.
12384,Ich habe gerade ein Falafel gegessen.,Ik heff jüst Falafel eten.
12385,Ich habe gerade eine Falafel gegessen.,Ik heff jüst en Falafel eten.
12386,Hast du Schwestern?,Hest du Süstern?
12387,Ich höre ihn nicht.,Ik höör em nich.
12388,Ich höre es nicht.,Ik höör dat nich.
12389,Ich höre sie nicht.,Ik höör ehr nich.
12390,Er sagte oft solche Sachen.,He seed faken so Saken.
12391,Wir sangen zusammen die Esperanto-Hymne.,Wi süngen tohoop de Esperanto-Hymne.
12392,Ich habe drei Mal soviel Geld wie du.,Ik heff dree Maal soveel Geld as du.
12393,Meine Mutter ist böse.,Miene Moder is quaad.
12394,Möchtest du noch ein Stück Kuchen?,Wullt du noch en Stück Koken?
12395,Gehst du oft in die Kirche?,Geihst du faken na Kark?
12396,Sally ist zwei Jahre älter als Ken.,Sally is twee Jahr öller as Ken.
12397,Es ist kein Film in der Kamera.,Dor is keen Film in ’e Kamera.
12398,Er nimmt Milch in den Kaffee.,He deed Melk in sien Kaffe.
12399,Ich mache etwas Kaffee.,Ik maak en beten Kaffe.
12400,Du hast da zu viel Pfeffer hineingetan.,Du hest dar toveel Peper rindaan.
12401,Ich spreche ein bisschen Slowenisch.,Ik snack en beten Sloveensch.
12402,Der Dichter schrieb viele Gedichte.,De Dichter schrifft veel Dichtels.
12403,Er wusste es nicht.,He wüss dat nich.
12404,Du hast es getan!,Du hest dat daan!
12405,Ihr habt es getan!,Ji hebbt dat daan!
12406,Hast du Bleistifte?,Hest du Bleestkens?
12407,Wir haben morgen geöffnet.,Wi hebbt morgen apen.
12408,Tom fing den Ball.,Tom hett den Ball fungen.
12409,Was habt ihr gestern gemacht?,Wat hebbt ji güstern maakt?
12410,Jetzt seid ihr dran.,Nu sünd ji an ’e Reeg.
12411,Er wurde von seinen Freunden ausgelacht.,He is vun sien Frünn utlacht worrn.
12412,Ich will dieses Buch nicht lesen.,Ik will dit Book nich lesen.
12413,Es gab ein Erdbeben und zusätzlich noch einen Tsunami.,Dat hett en Eerdbeven geven un denn noch en Tsunami.
12414,Es ist unter dem Tisch.,Dat is ünner ’n Disch.
12415,Du bist zu früh gekommen.,Du büst to froh kamen.
12416,Ihr seid zu früh gekommen.,Ji sünd to froh kamen.
12417,Der Junge versuchte den toten Ast abzusägen.,"De Jung versöcht, den doden Telgen aftosagen."
12418,Ich bin in Portugal.,Ik bün in Portugal.
12419,Ist er daheim?,Is he tohuus?
12420,Ich hatte schon einen Kaffee.,Ik heff al en Kaffe hatt.
12421,Er zeigte uns einen hübschen Hut.,He hett uns en smucken Hoot wiest.
12422,Der Sturm hat einen Baum umgehauen.,De Storm hett en Boom ümsmeten.
12423,Hast du dich gestern gut amüsiert?,Hest du di güstern goot höögt?
12424,Ihr seid noch jung.,Ji sünd noch jung.
12425,Hoffentlich regnet es heute Abend nicht.,"Wi wüllt höpen, dat dat vonavend nich regent."
12426,Ich kann seine Schrift kaum lesen.,Ik kann siene Schrift kuum lesen.
12427,Es ist halb zehn.,Dat is halvig teihn.
12428,Dieser Hut hat mich zehn Dollar gekostet.,Disse Hoot hett mi teihn Dollar köst.
12429,Die Blätter des Eukalyptus sind dünn und lang.,De Bläder vun ’n Eukalyptus sünd dünn un lang.
12430,"„Fast vier Pfund“, sagt Bob.","„Meist veer Pund“, seed Bob."
12431,Er schlief eine Stunde.,He hett een Stünn slapen.
12432,Dieser Tisch besteht aus Holz.,Disse Disch is ut Holt.
12433,Ich muss immer an das gestohlene Geld denken.,Ik mutt ümmer an dat stahlen Geld denken.
12437,Warum hast du eine Blume gekauft?,Worüm hest du en Bloom köfft?
12438,Ich las den Brief zuhause.,Ik heff tohuus den Breef leest.
12439,Um halb zehn gibt es Frühstück.,Halvig teihn gifft dat Fröhstück.
12440,Ich habe keine Zeit mehr.,Ik heff keen Tied mehr.
12441,Ich habe mein ganzes Leben lang auf sie gewartet.,Ik heff mien heel Leven lang op ehr töövt.
12442,Ich höre immer Radio beim Arbeiten.,Ik höör ümmer Radio bi de Arbeit.
12443,Wir konnten nichts sehen außer Nebel.,Wi kunnen nix sehn as Mist.
